,measure,Date_day,value,site_id,latitude,longitude
0,Particulate Air Pollution (2.5 µm),2019-11-15,6.513333333333334,1001,-37.800793,144.966492
1,Particulate Air Pollution (10 µm),2019-11-15,28.69333333333333,1001,-37.800793,144.966492
2,Ambient Air Temperature,2019-11-15,16.604666666666667,1001,-37.800793,144.966492
3,Relative Humidity,2019-11-15,52.448,1001,-37.800793,144.966492
4,Particulate Air Pollution (2.5 µm),2019-11-15,5.866666666666666,1002,-37.800524,144.964122
5,Particulate Air Pollution (10 µm),2019-11-15,26.6,1002,-37.800524,144.964122
6,Ambient Air Temperature,2019-11-15,15.730666666666666,1002,-37.800524,144.964122
7,Relative Humidity,2019-11-15,59.17666666666666,1002,-37.800524,144.964122
8,Particulate Air Pollution (2.5 µm),2019-11-15,5.573333333333333,1003,-37.8023,144.960923
9,Particulate Air Pollution (10 µm),2019-11-15,25.40666666666667,1003,-37.8023,144.960923
10,Ambient Air Temperature,2019-11-15,15.985333333333333,1003,-37.8023,144.960923
11,Relative Humidity,2019-11-15,59.366,1003,-37.8023,144.960923
12,Particulate Air Pollution (2.5 µm),2019-11-15,7.92,1004,-37.800575,144.964635
13,Particulate Air Pollution (10 µm),2019-11-15,30.366666666666667,1004,-37.800575,144.964635
14,Ambient Air Temperature,2019-11-15,15.447333333333335,1004,-37.800575,144.964635
15,Relative Humidity,2019-11-15,58.376,1004,-37.800575,144.964635
16,Particulate Air Pollution (2.5 µm),2019-11-15,5.546666666666667,1005,-37.800629,144.965052
17,Particulate Air Pollution (10 µm),2019-11-15,28.240000000000002,1005,-37.800629,144.965052
18,Ambient Air Temperature,2019-11-15,15.437333333333333,1005,-37.800629,144.965052
19,Relative Humidity,2019-11-15,58.09066666666667,1005,-37.800629,144.965052
20,Particulate Air Pollution (2.5 µm),2019-11-16,7.408333333333334,1001,-37.800793,144.966492
21,Particulate Air Pollution (10 µm),2019-11-16,34.94583333333333,1001,-37.800793,144.966492
22,Ambient Air Temperature,2019-11-16,14.49375,1001,-37.800793,144.966492
23,Relative Humidity,2019-11-16,52.642500000000005,1001,-37.800793,144.966492
24,Particulate Air Pollution (2.5 µm),2019-11-16,6.820833333333333,1002,-37.800524,144.964122
25,Particulate Air Pollution (10 µm),2019-11-16,30.983333333333334,1002,-37.800524,144.964122
26,Ambient Air Temperature,2019-11-16,13.356666666666667,1002,-37.800524,144.964122
27,Relative Humidity,2019-11-16,60.544999999999995,1002,-37.800524,144.964122
28,Particulate Air Pollution (2.5 µm),2019-11-16,6.691666666666666,1003,-37.8023,144.960923
29,Particulate Air Pollution (10 µm),2019-11-16,29.979166666666668,1003,-37.8023,144.960923
30,Ambient Air Temperature,2019-11-16,13.810833333333333,1003,-37.8023,144.960923
31,Relative Humidity,2019-11-16,60.22125,1003,-37.8023,144.960923
32,Particulate Air Pollution (2.5 µm),2019-11-16,7.983333333333333,1004,-37.800575,144.964635
33,Particulate Air Pollution (10 µm),2019-11-16,35.608333333333334,1004,-37.800575,144.964635
34,Ambient Air Temperature,2019-11-16,12.937916666666666,1004,-37.800575,144.964635
35,Relative Humidity,2019-11-16,59.92625,1004,-37.800575,144.964635
36,Particulate Air Pollution (2.5 µm),2019-11-16,6.104166666666667,1005,-37.800629,144.965052
37,Particulate Air Pollution (10 µm),2019-11-16,33.041666666666664,1005,-37.800629,144.965052
38,Ambient Air Temperature,2019-11-16,12.885,1005,-37.800629,144.965052
39,Relative Humidity,2019-11-16,59.74416666666667,1005,-37.800629,144.965052
40,Particulate Air Pollution (2.5 µm),2019-11-17,7.154166666666666,1001,-37.800793,144.966492
41,Particulate Air Pollution (10 µm),2019-11-17,30.254166666666666,1001,-37.800793,144.966492
42,Ambient Air Temperature,2019-11-17,14.591666666666667,1001,-37.800793,144.966492
43,Relative Humidity,2019-11-17,53.18333333333334,1001,-37.800793,144.966492
44,Particulate Air Pollution (2.5 µm),2019-11-17,6.408333333333334,1002,-37.800524,144.964122
45,Particulate Air Pollution (10 µm),2019-11-17,27.75,1002,-37.800524,144.964122
46,Ambient Air Temperature,2019-11-17,13.622916666666667,1002,-37.800524,144.964122
47,Relative Humidity,2019-11-17,60.30375,1002,-37.800524,144.964122
48,Particulate Air Pollution (2.5 µm),2019-11-17,5.95,1003,-37.8023,144.960923
49,Particulate Air Pollution (10 µm),2019-11-17,26.150000000000002,1003,-37.8023,144.960923
50,Ambient Air Temperature,2019-11-17,13.641666666666666,1003,-37.8023,144.960923
51,Relative Humidity,2019-11-17,61.04583333333333,1003,-37.8023,144.960923
52,Particulate Air Pollution (2.5 µm),2019-11-17,6.958333333333333,1004,-37.800575,144.964635
53,Particulate Air Pollution (10 µm),2019-11-17,29.958333333333332,1004,-37.800575,144.964635
54,Ambient Air Temperature,2019-11-17,12.985833333333334,1004,-37.800575,144.964635
55,Relative Humidity,2019-11-17,60.538333333333334,1004,-37.800575,144.964635
56,Particulate Air Pollution (2.5 µm),2019-11-17,5.3625,1005,-37.800629,144.965052
57,Particulate Air Pollution (10 µm),2019-11-17,27.84583333333333,1005,-37.800629,144.965052
58,Ambient Air Temperature,2019-11-17,13.000416666666666,1005,-37.800629,144.965052
59,Relative Humidity,2019-11-17,60.13083333333333,1005,-37.800629,144.965052
